company_id,company,country,country_code,ca100,alignment_2030,alignment_2050,unit,cutoff_year,year,intensity_tco2_per_t,is_historical,data_type,source,source_file,source_url,accessed_date
1634,Baoshan Iron & Steel,China,CHN,Yes,Not Aligned,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2023,2023,2.04,TRUE,historical,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1634,Baoshan Iron & Steel,China,CHN,Yes,Not Aligned,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2023,2024,1.9998,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1634,Baoshan Iron & Steel,China,CHN,Yes,Not Aligned,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2023,2025,1.9596,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1634,Baoshan Iron & Steel,China,CHN,Yes,Not Aligned,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2023,2026,1.92978,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1634,Baoshan Iron & Steel,China,CHN,Yes,Not Aligned,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2023,2027,1.89996,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1634,Baoshan Iron & Steel,China,CHN,Yes,Not Aligned,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2023,2028,1.87014,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1634,Baoshan Iron & Steel,China,CHN,Yes,Not Aligned,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2023,2029,1.84032,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1634,Baoshan Iron & Steel,China,CHN,Yes,Not Aligned,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2023,2030,1.8105,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1634,Baoshan Iron & Steel,China,CHN,Yes,Not Aligned,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2023,2031,1.7466,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1634,Baoshan Iron & Steel,China,CHN,Yes,Not Aligned,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2023,2032,1.6827,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
