company,year,metric,value_apa,value_climate_trace,default_value,default_source,default_certainty,n_sources,source_spread_pct
Acciaierie di Sicilia SpA,2023,production_mt,,0.332,0.332,climate_trace,0.72,1.0,
Acciaierie di Sicilia SpA,2024,emissions_mt_co2,,0.025,0.025,climate_trace,0.72,1.0,
Acciaierie di Sicilia SpA,2024,production_mt,,0.313,0.313,climate_trace,0.72,1.0,
Acciaierie di Sicilia SpA,2025,emissions_mt_co2,,0.02,0.02,climate_trace,0.72,1.0,
Acciaierie di Sicilia SpA,2025,production_mt,,0.256,0.256,climate_trace,0.72,1.0,
Acciaierie di Verona SpA,2021,emissions_mt_co2,,0.079,0.079,climate_trace,0.7,1.0,
Acciaierie di Verona SpA,2021,production_mt,,0.991,0.991,climate_trace,0.7,1.0,
Acciaierie di Verona SpA,2022,emissions_mt_co2,,0.068,0.068,climate_trace,0.7,1.0,
Acciaierie di Verona SpA,2022,production_mt,,0.848,0.848,climate_trace,0.7,1.0,
Acciaierie di Verona SpA,2023,emissions_mt_co2,,0.066,0.066,climate_trace,0.72,1.0,
Acciaierie di Verona SpA,2023,production_mt,,0.83,0.83,climate_trace,0.72,1.0,
Acciaierie di Verona SpA,2024,emissions_mt_co2,,0.063,0.063,climate_trace,0.72,1.0,
Acciaierie di Verona SpA,2024,production_mt,,0.783,0.783,climate_trace,0.72,1.0,
Acciaierie di Verona SpA,2025,emissions_mt_co2,,0.051,0.051,climate_trace,0.72,1.0,
Acciaierie di Verona SpA,2025,production_mt,,0.639,0.639,climate_trace,0.72,1.0,
Acerinox Europa SAU,2021,emissions_mt_co2,,0.159,0.159,climate_trace,0.7,1.0,
Acerinox Europa SAU,2021,production_mt,,0.924,0.924,climate_trace,0.7,1.0,
Acerinox Europa SAU,2022,emissions_mt_co2,,0.127,0.127,climate_trace,0.7,1.0,
Acerinox Europa SAU,2022,production_mt,,0.74,0.74,climate_trace,0.7,1.0,
Acerinox Europa SAU,2023,emissions_mt_co2,,0.113,0.113,climate_trace,0.72,1.0,
Acerinox Europa SAU,2023,production_mt,,0.659,0.659,climate_trace,0.72,1.0,
Acerinox Europa SAU,2024,emissions_mt_co2,,0.119,0.119,climate_trace,0.72,1.0,
Acerinox Europa SAU,2024,production_mt,,0.69,0.69,climate_trace,0.72,1.0,
Acerinox Europa SAU,2025,emissions_mt_co2,,0.115,0.115,climate_trace,0.72,1.0,
Acerinox Europa SAU,2025,production_mt,,0.671,0.671,climate_trace,0.72,1.0,
Aceros AZA SA,2021,emissions_mt_co2,,0.033,0.033,climate_trace,0.7,1.0,
Aceros AZA SA,2021,production_mt,,0.411,0.411,climate_trace,0.7,1.0,
Aceros AZA SA,2022,emissions_mt_co2,,0.026,0.026,climate_trace,0.7,1.0,
